Jason Witten,110,1039,3,8,0,36,56,0.509,0,0,150,2012
Reggie Wayne,106,1355,5,22,0,33,73,0.6890000000000001,1,0,194,2012
A.J. Green,97,1350,11,16,7,73,61,0.629,2,0,164,2012
Demaryius Thomas,94,1434,10,29,5,71,60,0.638,3,0,141,2012
Tony Gonzalez,93,930,8,3,0,25,65,0.6990000000000001,0,0,124,2012
Roddy White,92,1351,7,18,4,59,73,0.7929999999999999,1,0,143,2012
Dez Bryant,92,1382,12,19,6,85,54,0.5870000000000001,2,0,138,2012
Victor Cruz,86,1092,10,12,3,80,52,0.605,0,0,143,2012
Jimmy Graham,85,982,9,12,1,46,59,0.6940000000000001,1,0,135,2012
Eric Decker,85,1064,13,11,2,55,52,0.612,0,0,123,2012
Michael Crabtree,85,1105,9,15,1,49,57,0.6709999999999999,0,0,126,2012
Marques Colston,83,1154,10,15,2,60,65,0.7829999999999999,4,0,132,2012
Randall Cobb,80,954,8,17,0,39,45,0.563,0,0,104,2012
Brandon Myers,79,806,4,9,0,29,41,0.519,0,0,105,2012
Julio Jones,79,1198,10,17,5,80,56,0.7090000000000001,0,0,129,2012
Steve Johnson,79,1046,6,12,2,63,52,0.6579999999999999,1,0,148,2012
Darren Sproles,75,667,7,7,1,44,29,0.387,0,0,104,2012
Brandon Lloyd,74,911,4,10,1,53,50,0.6759999999999999,0,0,130,2012
Brian Hartline,74,1083,1,14,3,80,48,0.649,1,0,128,2012
Steve Smith,73,1174,4,17,3,66,51,0.6990000000000001,0,0,138,2012
Vincent Jackson,72,1384,8,24,6,95,61,0.847,0,0,147,2012
Heath Miller,71,816,8,11,1,43,44,0.62,0,0,101,2012
Larry Fitzgerald,71,798,4,9,0,37,44,0.62,0,0,153,2012
Greg Olsen,69,843,5,11,1,47,42,0.609,0,0,104,2012
Jeremy Maclin,69,857,7,12,4,70,36,0.522,1,0,122,2012
Antonio Brown,66,787,5,10,2,60,43,0.652,2,0,105,2012
Miles Austin,66,943,6,13,1,49,48,0.727,1,0,118,2012
Lance Moore,65,1041,6,14,2,51,55,0.846,0,0,105,2012
Anquan Boldin,65,921,4,17,1,43,45,0.6920000000000001,0,0,112,2012
Kendall Wright,64,626,4,6,0,38,38,0.594,1,0,104,2012
Mike Wallace,64,836,8,9,4,82,33,0.516,2,0,119,2012
Andre Roberts,64,759,5,10,2,46,40,0.625,1,0,113,2012
James Jones,64,784,14,11,1,49,45,0.703,0,0,98,2012
Jermaine Gresham,64,737,5,8,2,55,33,0.516,2,0,94,2012
Justin Blackmon,64,865,5,9,2,81,41,0.6409999999999999,1,0,133,2012
Mike Williams,63,996,9,17,6,65,44,0.698,0,0,127,2012
Danny Amendola,63,666,3,5,2,56,38,0.603,2,0,101,2012
Percy Harvin,62,677,3,8,1,45,36,0.581,0,0,85,2012
Owen Daniels,62,716,6,7,0,39,37,0.597,0,0,103,2012
Ray Rice,61,478,1,6,1,43,22,0.361,0,0,84,2012
Dennis Pitta,61,669,7,8,1,61,29,0.475,0,0,93,2012
Jermichael Finley,61,667,2,10,1,40,31,0.508,1,0,88,2012
Davone Bess,61,778,1,11,0,39,38,0.623,1,0,104,2012
Donnie Avery,60,781,3,9,4,48,37,0.617,1,0,125,2012
Brandon Pettigrew,59,567,3,3,0,24,33,0.5589999999999999,4,0,100,2012
Dwayne Bowe,59,801,3,11,2,47,43,0.7290000000000001,1,0,114,2012
